Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
360 One Wam Ltd.,360ONE,542772,INE466L01038,477.6,Other Financial Services,115.6,2.3,33.3,58.5,13.9,-0.7,545,,27.7,2.1,12.6,12.8,17064.4,0.6,493.8,456.2,12.4,49.3,37
3i Infotech Ltd.,3IINFOLTD,532628,INE748C01038,32.8,IT Consulting & Software,10.3,-0.6,0.2,4.4,102.4,6.8,119.3,720,36.4,,-2.9,2.6,552.6,-0.3,33.2,35.8,39.5,47.7,47.2
3M India Ltd.,3MINDIA,523395,INE470A01017,31200,Industrial Machinery,-23.6,1.4,11.4,15,65.8,19.4,31989,945.5,50.3,,16.5,35.4,35147.1,878.4,28465,25491.4,2.5,72.2,65.8
5Paisa Capital Ltd.,5PAISA,540776,INE618L01018,450,Capital Markets,-3.3,0.1,12.9,25.3,217.2,13.9,580,,22.1,,10.6,16.6,1378.6,7.1,423.7,361.6,7.2,54.2,52.9
63 Moons Technologies Ltd.,63MOONS,526881,INE111B01023,334,IT Consulting & Software,10.3,0.5,-7.5,-6.7,69.3,74.8,403.9,193.2,36.4,,-1.9,2,1538.8,24.7,263.9,209,7.4,65.2,66.4
Aarti Drugs Ltd.,AARTIDRUGS,524348,INE767A01016,569.6,Pharmaceuticals,6.1,-4.8,6.1,11.2,-18.9,8.7,1027,2318.7,38.9,0.2,22.9,17.3,5274.5,5.4,536.3,475,11.8,59,55.2
Aarti Industries Ltd.,AARTIIND,524208,INE769A01020,491,Specialty Chemicals,-8.2,-0.6,8.2,16.5,-58.3,-5.4,1168,2809.1,65.2,0.1,22.4,13.4,17800.8,1.7,476.3,552,46.9,64.8,65.7
Aarti Surfactants Ltd.,AARTISURF,543210,INE09EO01013,642.6,Specialty Chemicals,-8.2,0.2,2.1,7.9,131.2,4.5,1887,,65.2,0.4,7.9,12.7,510.3,3.7,609.3,632.8,32.3,70.4,65.9
Aavas Financiers Ltd.,AAVAS,541988,INE216P01012,1627.2,Housing Finance ,13681.1,1.7,26.7,72.4,21,23.4,3340,,15.7,0.5,8.6,23.4,12875.5,13.6,1560.1,1690.9,30.4,54,65.3
Abans Holdings Ltd.,AHL,543712,INE00ZE01026,275.9,Finance (including NBFCs),56.2,,6.1,6.3,13.9,80.1,343.8,,27.2,0.1,11.8,8.4,1383.5,-4.3,278.5,,19.7,36.8,44
