Symbol,Company Name,Industry,Market Cap
AAL,American Airlines Group,Airlines,9870
AAON,"AAON, Inc.",Building Products,2930
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2880
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2410
AB,AllianceBernstein Holding,Capital Markets,4290
ABCB,Ameris Bancorp,Banks,3260
ABCL,AbCellera Biologics,Biotechnology,2420
ABCM,Abcam,Biotechnology,3720
ABG,Asbury Automotive Group,Specialty Retail,4430
ABM,ABM Industries,Commercial Services & Supplies,3140
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2690
ACA,Arcosa,Construction & Engineering,2630
ACAD,ACADIA Pharmaceuticals,Biotechnology,3920
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5590
ACIW,ACI Worldwide,Software,3690
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2050
ACM,AECOM,Construction & Engineering,9920
ACT,Enact Holdings,Insurance-Specialty,3290
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,4690
ADNT,Adient,Auto Components,3370
ADS,Alliance Data Systems,IT Services,3050
ADT,ADT Inc.,Commercial Services & Supplies,6370
AEG,Aegon,Insurance,8780
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3100
AEL,American Equity Investment Life Holding Company,Insurance,3530
AEO,American Eagle Outfitters,Specialty Retail,3050
AG,First Majestic Silver,Metals & Mining,3160
AGCO,AGCO Corporation,Machinery,9680
AGI,Alamos Gold,Metals & Mining,3070
AGL,agilon health,Medical Care Facilities,8610
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6850
AGO,Assured Guaranty,Insurance,3990
AGTI,Agiliti,Health Information Services,2360
AHCO,AdaptHealth,Health Care Providers & Services,2020
AI,C3.ai,Software,2040
AIMC,Altra Industrial Motion,Machinery,2670
AIN,Albany International,Machinery,2740
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,8850
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3870
AIZ,Assurant,Insurance,9340
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3160
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2140
