Symbol,Name,Exchange,AssetType,IpoDate,DelistingDate,Status
SPY,SP500,NYSE,ETF,2010-07-21,,Active
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,ETF,2010-07-21,,Active
AAXJ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF ,NASDAQ,ETF,2008-08-15,,Active
ACP,Aberdeen Income Credit Strategies Fund,NYSE,ETF,2011-01-27,,Active
ACV,Virtus AllianzGI Diversified Income & Convertible Fund,NYSE,ETF,2015-05-22,,Active
ACWI,BTC iShares MSCI ACWI ETF,NASDAQ,ETF,2008-03-28,,Active
ACWX,BTC iShares MSCI ACWI ex US ETF,NASDAQ,ETF,2008-03-31,,Active
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,ETF,2002-11-13,,Active
ADX,Adams Diversified Equity Fund,NYSE,ETF,1984-07-19,,Active
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,ETF,2002-01-29,,Active
AFT,Apollo Senior Floating Rate Fund Inc,NYSE,ETF,2011-02-25,,Active
AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,ETF,2006-07-27,,Active
AGND,WISDOMTREE NEGATIVE DURATION U.S. AGGREGATE BOND FUND NA,NASDAQ,ETF,2013-12-18,,Active
AGNG,Global X Aging Population ETF,NASDAQ,ETF,2016-05-10,,Active
AGRI,AgriFORCE Growing Systems Ltd,NASDAQ,ETF,2021-07-08,,Active
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ,ETF,2013-12-18,,Active
AIA,BTC iShares Asia 50 ETF,NASDAQ,ETF,2007-11-20,,Active
AIF,Apollo Tactical Income Fund Inc,NYSE,ETF,2013-02-26,,Active
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ,ETF,2018-05-16,,Active
AIRR,First Trust RBA American Industrial Renaissance ETF,NASDAQ,ETF,2014-03-11,,Active
ALTY,Global X Alternative Income ETF,NASDAQ,ETF,2015-07-14,,Active
ANGL,VanEck Fallen Angel High Yield Bond ETF,NASDAQ,ETF,2012-04-11,,Active
AOD,Aberdeen Total Dynamic Dividend Fund,NYSE,ETF,2007-01-26,,Active
AQWA,GLOBAL X CLEAN WATER ETF ,NASDAQ,ETF,2021-04-12,,Active
ARDC,Ares Dynamic Credit Allocation Fund Inc,NYSE,ETF,2012-11-28,,Active
ASA,ASA Gold and Precious Metals Ltd,NYSE,ETF,1978-01-03,,Active
ASET,FlexShares Real Assets Allocation Index Fund,NASDAQ,ETF,2015-11-24,,Active
ASG,Liberty All-Star Growth Fund Inc,NYSE,ETF,1987-11-05,,Active
AVK,Advent Convertible and Income Fund,NYSE,ETF,2003-04-30,,Active
AWF,AllianceBernstein Global High Income Fund,NYSE,ETF,1993-07-29,,Active
AWP,Aberdeen Global Premier Properties Fund,NYSE,ETF,2007-04-26,,Active
BAF,BlackRock Municipal Income Investment Quality Trust,NYSE,ETF,2002-10-29,,Active
BBF,BlackRock Municipal Income Investment Trust,NYSE,ETF,2001-07-27,,Active
BBH,VanEck Biotech ETF,NASDAQ,ETF,1999-11-23,,Active
BBK,BlackRock Municipal Bond Trust,NYSE,ETF,2002-04-26,,Active
BBN,BlackRock Taxable Municipal Bond Trust,NYSE,ETF,2010-08-30,,Active
BCX,BlackRock Resources & Commodities Strategy Trust,NYSE,ETF,2011-03-29,,Active
BDJ,BlackRock Enhanced Equity Dividend Trust,NYSE,ETF,2005-08-29,,Active
BFIT,GLOBAL X HEALTH & WELLNESS THEMATIC ETF ,NASDAQ,ETF,2016-05-10,,Active
BFK,BlackRock Municipal Income Trust,NYSE,ETF,2001-07-27,,Active
BFO,BlackRock Florida Municipal 2020 Term Tr,NYSE,ETF,2003-09-29,,Active
BFY,BlackRock New York Municipal Income Trust II,NYSE,ETF,2002-07-30,,Active
BFZ,BlackRock California Municipal Income Trust,NYSE,ETF,2001-07-27,,Active
BGB,Blackstone Strategic Credit Fund,NYSE,ETF,2012-09-26,,Active
BGH,Barings Global Short Duration High Yield Fund,NYSE,ETF,2012-10-26,,Active
