Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,40220
AA,Alcoa,Metals & Mining,16810
AAC,Ares Acquisition,Blank Check / SPAC,1470
AACG,ATA Creativity Global,Diversified Consumer Services,38
AACI,Armada Acquisition I,Blank Check / SPAC,203
AADI,Aadi Bioscience,Biotechnology,354
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,110
AAL,American Airlines Group,Airlines,9870
AAMC,Altisource Asset Management,Real Estate Management & Development,37
AAME,Atlantic American,Insurance,51
AAN,The Aaron's Company,Specialty Retail,693
AAOI,Applied Optoelectronics,Communications Equipment,96
AAON,"AAON, Inc.",Building Products,2930
AAP,Advance Auto Parts,Specialty Retail,12620
AAPL,Apple,"Technology Hardware, Storage & Periph...",2668120
AAQC,Accelerate Acquisition,Blank Check / SPAC,486
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2880
AATC,Autoscope Technologies,Scientific & Technical Instruments,36
AAU,Almaden Minerals,Metals & Mining,41
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2410
AB,AllianceBernstein Holding,Capital Markets,4290
ABB,ABB Ltd,Electrical Equipment,62520
ABBV,AbbVie,Biotechnology,266300
ABC,AmerisourceBergen,Health Care Providers & Services,30810
ABCB,Ameris Bancorp,Banks,3260
ABCL,AbCellera Biologics,Biotechnology,2420
ABCM,Abcam,Biotechnology,3720
ABEO,Abeona Therapeutics,Biotechnology,40
ABEV,Ambev,Beverages,44870
ABG,Asbury Automotive Group,Specialty Retail,4430
ABGI,ABG Acquisition I,Blank Check / SPAC,188
ABIO,ARCA biopharma,Biotechnology,30
ABM,ABM Industries,Commercial Services & Supplies,3140
ABMD,Abiomed,Health Care Equipment & Supplies,14280
ABNB,Airbnb,"Hotels, Restaurants & Leisure",95270
ABOS,Acumen Pharmaceuticals,Biotechnology,203
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2690
ABSI,Absci,Biotechnology,794
ABST,Absolute Software,Software-Application,438
ABT,Abbott Laboratories,Health Care Equipment & Supplies,214100
ABTX,Allegiance Bancshares,Banks,889
ABUS,Arbutus Biopharma,Biotechnology,430
ABVC,ABVC BioPharma,Biotechnology,70
AC,Associated Capital Group,Capital Markets,893
ACA,Arcosa,Construction & Engineering,2630
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,323
ACAD,ACADIA Pharmaceuticals,Biotechnology,3920
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,223
ACAX,Alset Capital Acquisition,Blank Check / SPAC,106
ACB,Aurora Cannabis,Pharmaceuticals,735
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15130
ACCD,Accolade,Health Care Technology,1000
ACCO,ACCO Brands,Commercial Services & Supplies,827
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,374
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1330
ACER,Acer Therapeutics,Pharmaceuticals,36
ACET,Adicet Bio,Health Care Providers & Services,502
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,140
ACGL,Arch Capital Group,Insurance,17440
ACH,Aluminum Corporation of China,Metals & Mining,17380
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5590
ACHL,Achilles Therapeutics,Biotechnology,112
ACHR,Archer Aviation,Aerospace & Defense,684
ACHV,Achieve Life Sciences,Biotechnology,63
ACI,Albertsons Companies,Grocery Stores,17650
ACII,Atlas Crest Investment II,Blank Check / SPAC,421
ACIU,AC Immune,Biotechnology,275
ACIW,ACI Worldwide,Software,3690
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2050
ACLX,Arcellx,Biotechnology,626
ACM,AECOM,Construction & Engineering,9920
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1490
ACN,Accenture,IT Services,198550
ACNB,ACNB Corporation,Banks,292
ACOR,Acorda Therapeutics,Biotechnology,24
ACQR,Independence Holdings,Blank Check / SPAC,604
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,118
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,703
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,418
ACRS,Aclaris Therapeutics,Pharmaceuticals,969
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,51
ACST,Acasti Pharma,Pharmaceuticals,47
ACT,Enact Holdings,Insurance-Specialty,3290
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,384
ACTG,Acacia Research,Professional Services,182
ACU,Acme United,Commercial Services & Supplies,124
ACVA,ACV Auctions,Software-Application,1950
ACXP,Acurx Pharmaceuticals,Biotechnology,36
ACY,AeroCentury,Trading Companies & Distributors,85
ADAG,Adagene,Biotechnology,231
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,299
ADAP,Adaptimmune Therapeutics,Biotechnology,339
ADBE,Adobe,Software,219190
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,4690
ADCT,ADC Therapeutics,Communications Equipment,1080
ADER,26 Capital Acquisition,Blank Check / SPAC,340
ADES,Advanced Emissions Solutions,Chemicals,116
