Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,40220
AA,Alcoa,Metals & Mining,16810
AAP,Advance Auto Parts,Specialty Retail,12620
AAPL,Apple,"Technology Hardware, Storage & Periph...",2668120
ABB,ABB Ltd,Electrical Equipment,62520
ABBV,AbbVie,Biotechnology,266300
ABC,AmerisourceBergen,Health Care Providers & Services,30810
ABEV,Ambev,Beverages,44870
ABMD,Abiomed,Health Care Equipment & Supplies,14280
ABNB,Airbnb,"Hotels, Restaurants & Leisure",95270
ABT,Abbott Laboratories,Health Care Equipment & Supplies,214100
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15130
ACGL,Arch Capital Group,Insurance,17440
ACH,Aluminum Corporation of China,Metals & Mining,17380
ACI,Albertsons Companies,Grocery Stores,17650
ACN,Accenture,IT Services,198550
ADBE,Adobe,Software,219190
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,82360
ADM,Archer-Daniels-Midland Company,Food Products,46550
ADP,Automatic Data Processing,IT Services,87560
ADSK,Autodesk,Software,45680
AEE,Ameren,Multi-Utilities,23070
AEM,Agnico Eagle Mines,Metals & Mining,25770
AEP,American Electric Power Company,Electric Utilities,48570
AER,AerCap Holdings,Trading Companies & Distributors,12280
AES,The AES Corporation,Independent Power and Renewable Elect...,14560
AFG,American Financial Group,Insurance,11690
AFL,Aflac,Insurance,39060
AFRM,Affirm Holdings,IT Services,10190
AGR,Avangrid,Electric Utilities,17410
AIG,American International Group,Insurance,46830
AJG,Arthur J. Gallagher & Company,Insurance,33340
AKAM,Akamai Technologies,IT Services,18050
ALB,Albemarle,Chemicals,20960
ALC,Alcon,Medical Instruments & Supplies,37160
ALGN,Align Technology,Health Care Equipment & Supplies,36600
ALL,The Allstate Corporation,Insurance,35500
ALLE,Allegion,Building Products,10350
ALLY,Ally Financial,Consumer Finance,15090
ALNY,Alnylam Pharmaceuticals,Biotechnology,19770
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,113240
AMCR,Amcor,Containers & Packaging,17200
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,186350
AME,AMETEK,Electrical Equipment,30350
AMGN,Amgen,Biotechnology,129740
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,15740
AMOV,America Movil,Wireless Telecommunication Services,60010
AMP,Ameriprise Financial,Capital Markets,31180
AMT,American Tower,Equity Real Estate Investment Trusts ...,108630
AMX,America Movil,Wireless Telecommunication Services,59530
AMZN,Amazon.com,Internet & Direct Marketing Retail,1482170
ANET,Arista Networks,Communications Equipment,36430
ANSS,ANSYS,Software,27160
ANTM,Anthem,Health Care Providers & Services,115060
AON,Aon plc,Insurance,62840
AOS,A. O. Smith,Building Products,10880
APA,APA Corporation,"Oil, Gas & Consumable Fuels",13690
APD,Air Products & Chemicals,Chemicals,50650
APH,Amphenol,"Electronic Equipment, Instruments & C...",45660
APO,Apollo Global Management,Capital Markets,38090
APP,AppLovin,Software-Application,18850
APTV,Aptiv,Auto Components,28640
ARCC,Ares Capital,Capital Markets,10500
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,31130
ARES,Ares Management,Capital Markets,14120
ARGX,Argenx SE,Biotechnology,13720
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,246250
ASX,ASE Technology Holding Company,Semiconductors & Semiconductor Equipment,15160
ATO,Atmos Energy,Gas Utilities,15730
ATVI,Activision Blizzard,Entertainment,63450
AU,AngloGold Ashanti,Metals & Mining,10490
AVB,AvalonBay Communities,Equity Real Estate Investment Trusts ...,34570
AVGO,Broadcom,Semiconductors & Semiconductor Equipment,247150
AVTR,Avantor,Life Sciences Tools & Services,20200
AVY,Avery Dennison,Containers & Packaging,13820
AWK,American Water Works Company,Water Utilities,29260
AXP,American Express Company,Consumer Finance,131640
AZN,AstraZeneca,Pharmaceuticals,184180
AZO,AutoZone,Specialty Retail,37760
AZPN,Aspen Technology,Software,10010
BA,The Boeing Company,Aerospace & Defense,105430
BABA,Alibaba Group Holding,Internet & Direct Marketing Retail,281730
BAC,Bank of America,Banks,335670
BAH,Booz Allen Hamilton Holding,IT Services,11500
BAM,Brookfield Asset Management,Capital Markets,84950
BAP,Credicorp,Banks,12310
BAX,Baxter International,Health Care Equipment & Supplies,43210
BBD,Banco Bradesco,Banks,37600
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,35070
BBWI,Bath & Body Works,Specialty Retail,12440
BBY,Best Buy Co.,Specialty Retail,25520
BCE,"BCE, Inc.",Diversified Telecommunication Services,51140
BCH,Banco de Chile,Banks,11050
BCS,Barclays,Banks,35110
BDX,"Becton, Dickinson and Company",Health Care Equipment & Supplies,78430
BEKE,KE Holdings,Real Estate Management & Development,17270
BEN,Franklin Resources,Capital Markets,14160
BEP,Brookfield Renewable Partners,Independent Power and Renewable Elect...,23910
BF-A,Brown-Forman,Beverages,32720
BF-B,Brown-Forman,Beverages,32620
BG,Bunge,Food Products,15310
BGNE,BeiGene,Biotechnology,21040
BHP,BHP Group,Metals & Mining,262350
BIDU,Baidu,Interactive Media & Services,52770
BIIB,Biogen,Biotechnology,30780
BILL,Bill.com Holdings,Software,22800
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,17450
BIP,Brookfield Infrastructure Partners LP,Multi-Utilities,18280
